num,tema,versiculo,asignado,idasignado
1,Las cualidades principales de Jehová,(Revelación 4:11),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
2,Tu nombre es Jehová,(Salmo 83:18),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
3,"Tú me das fuerzas, confianza y valor",(Proverbios 14:26),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
4,“Jehová es mi Pastor”,(Salmo 23),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
5,Las maravillosas obras de Dios,(Salmo 139),Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
6,Los cielos proclaman la gloria de Dios,(Salmo 19),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
7,Jehová es mi fuerza y mi salvación,(Isaías 12:2),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
8,Jehová es mi Refugio,(Salmo 91),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
9,¡Jehová es nuestro Rey!,(Salmo 97:1),Fran David,beb26774-e8dd-40d3-990f-813d9d6e9d79
10,"¡Alabemos a nuestro Dios, Jehová!",(Salmo 145:12),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
11,La creación alaba a Jehová,(Salmo 19),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
12,"Jehová, nuestro gran Dios","(Éxodo 34:6, 7)",Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
13,Cristo es nuestro modelo,(1 Pedro 2:21),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
14,Honremos al nuevo Rey de la Tierra,(Salmo 2:12),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
15,Alabemos al Primogénito de Jehová,(Hebreos 1:6),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
16,"Alabemos a Jehová por su Hijo, el Ungido",(Revelación 21:2),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
17,“Quiero”,(Lucas 5:13),Stefany,a97bcdf6-a0ef-441e-804a-876778b40f39
18,Gracias por el rescate,(Lucas 22:20),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
19,La Cena del Señor,(Mateo 26:26-30),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
20,"Enviaste a Jesús, tu Hijo amado",(1 Juan 4:9),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
21,Busquemos primero el Reino,(Mateo 6:33),Abigail,78a004aa-93d8-4a5a-bbb4-75f14d376a2b
22,¡Que venga el Reino que Dios ha establecido!,(Revelación 11:15; 12:10),Yolaine,e586551c-6db9-47a5-90f4-a7acf9210bd6
