"num","nombre"
1,"Lectura precisa "
2,"Articulación clara "
3,"Pronunciación correcta "
4,"Fluidez "
5,"Uso adecuado de las pausas "
6,"Énfasis acertado "
7,"Énfasis en las ideas principales "
8,"Volumen adecuado "
9,"Modulación "
10,"Entusiasmo "
11,"Afecto y otros sentimientos "
12,"Ademanes y expresiones faciales "
13,"Contacto visual "
14,"Naturalidad "
15,"Buena apariencia "
16,"Aplomo "
17,"Buen uso del micrófono "
18,"Uso de la Biblia para contestar preguntas "
19,"Animar a emplear la Biblia "
20,"Introducción eficaz a los textos bíblicos "
21,"Lectura de textos bíblicos con el énfasis debido "
22,"Empleo correcto de los textos bíblicos "
23,"Resaltar el valor práctico "
24,"Buen uso del vocabulario "
25,"Uso de un bosquejo "
26,"Desarrollo lógico de la información "
27,"Improvisar las palabras a partir del bosquejo "
28,"Tono conversacional "
29,"Calidad de la voz "
30,"Interés en los oyentes "
31,"Respeto a los demás "
32,"Expresarse con convicción "
33,"Hablar con tacto, pero con firmeza "
34,"Ser edificante y positivo "
35,"Repetición para dar énfasis "
36,"Desarrollo del tema "
37,"Destacar los puntos principales "
38,"Introducciones que despiertan interés "
39,"Conclusiones eficaces "
40,"Exactitud en las afirmaciones "
41,"Claridad en la exposición "
42,"Exposición instructiva para el auditorio "
43,"Utilizar la información asignada "
44,"Uso eficaz de las preguntas "
45,"Ilustraciones instructivas "
46,"Ilustraciones basadas en situaciones conocidas "
47,"Uso eficaz de medios visuales "
48,"Argumentación que induce a razonar "
49,"Solidez en la argumentación "
50,"Llegar al corazón "
51,"Atenerse al tiempo y distribuirlo bien "
52,"Exhortación eficaz "
53,"Animar y fortalecer al auditorio "
